USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
USA Total,14983425,"+208,790",287825.0,"+2,251",8787738.0,5907862.0,45267.0,870.0,205841812.0,621874.0,
Texas,1342779,"+11,263",23182.0,+205,1060957.0,258640.0,46309.0,799.0,12569066.0,433478.0,28995881.0
California,1340716,"+25,320",19879.0,+88,610192.0,710645.0,33932.0,503.0,24901975.0,630235.0,39512223.0
Florida,1049638,"+10,431",19084.0,+89,670026.0,360528.0,48871.0,889.0,12986939.0,604670.0,21477737.0
Illinois,779975,"+9,887",14017.0,+235,412781.0,353177.0,61552.0,1106.0,11021676.0,869778.0,12671821.0
New York,734600,"+10,163",34940.0,+54,446817.0,252843.0,37762.0,1796.0,20388862.0,1048079.0,19453561.0
Georgia,499371,"+5,017",9793.0,+68,306972.0,182606.0,47033.0,922.0,4835781.0,455457.0,10617423.0
Ohio,467432,"+10,469",6946.0,+66,315453.0,145033.0,39989.0,594.0,6391692.0,546808.0,11689100.0
Michigan,426576,"+6,308",10321.0,+203,197750.0,218505.0,42714.0,1033.0,7420100.0,742987.0,9986857.0
Pennsylvania,416073,"+11,374",11354.0,+134,238660.0,166059.0,32501.0,887.0,5935926.0,463672.0,12801989.0
Wisconsin,409386,"+4,831",3702.0,+77,343481.0,62203.0,70312.0,636.0,2598335.0,446263.0,5822434.0
Tennessee,397522,"+4,914",4905.0,+29,357347.0,35270.0,58209.0,718.0,4641511.0,679659.0,6829174.0
North Carolina,388552,"+6,018",5516.0,+49,315979.0,67057.0,37047.0,526.0,5521760.0,526479.0,10488084.0
Indiana,375019,"+7,690",6207.0,+85,222022.0,146790.0,55705.0,922.0,4525760.0,672254.0,6732219.0
New Jersey,369845,"+4,663",17435.0,+44,201137.0,151273.0,41639.0,1963.0,6280783.0,707121.0,8882190.0
Arizona,358900,"+6,799",6925.0,+40,55640.0,296335.0,49308.0,951.0,2719745.0,373657.0,7278717.0
Minnesota,345281,"+6,308",3979.0,+75,301081.0,40221.0,61224.0,706.0,4492421.0,796581.0,5639632.0
Missouri,336826,"+4,744",4536.0,+70,92880.0,239410.0,54881.0,739.0,3417776.0,556874.0,6137428.0
Alabama,267589,"+3,390",3877.0,+46,168387.0,95325.0,54575.0,791.0,1711755.0,349111.0,4903185.0
Colorado,257347,"+5,125",3357.0,+19,57256.0,196734.0,44688.0,583.0,1815644.0,315285.0,5758736.0
Massachusetts,252017,"+5,619",10953.0,+43,186865.0,54199.0,36564.0,1589.0,8880813.0,1288474.0,6892503.0
Virginia,251173,"+3,793",4197.0,+37,25115.0,221861.0,29427.0,492.0,3972290.0,465384.0,8535519.0
Louisiana,247177,,6548.0,,202891.0,37738.0,53170.0,1409.0,3672682.0,790029.0,4648794.0
Iowa,242212,"+1,889",2666.0,+61,157026.0,82520.0,76769.0,845.0,1244082.0,394312.0,3155070.0
South Carolina,229235,"+3,222",4517.0,+21,118984.0,105734.0,44523.0,877.0,2839840.0,551563.0,5148714.0
Oklahoma,213245,"+4,370",1874.0,+14,180810.0,30561.0,53891.0,474.0,2227777.0,563001.0,3956971.0
Utah,212844,"+3,674",939.0,+14,150405.0,61500.0,66390.0,293.0,2169067.0,676574.0,3205958.0
Maryland,212384,"+3,193",4820.0,+30,8780.0,198784.0,35130.0,797.0,4637128.0,767015.0,6045680.0
Kentucky,198065,"+3,872",2062.0,+23,30161.0,165842.0,44333.0,462.0,2950532.0,660418.0,4467673.0
Washington,183108,"+1,447",2958.0,,69998.0,110152.0,24046.0,388.0,3133845.0,411542.0,7614893.0
Kansas,170800,+331,1786.0,,103465.0,65549.0,58627.0,613.0,845186.0,290112.0,2913314.0
Arkansas,169382,"+2,245",2620.0,+34,148131.0,18631.0,56128.0,868.0,1903801.0,630856.0,3017804.0
Nevada,165628,"+3,194",2301.0,+29,86908.0,76419.0,53773.0,747.0,1718547.0,557942.0,3080156.0
Mississippi,163458,"+1,942",3949.0,+33,128746.0,30763.0,54923.0,1327.0,1366833.0,459262.0,2976149.0
Nebraska,136325,,1186.0,,68355.0,66784.0,70474.0,613.0,762244.0,394045.0,1934408.0
Connecticut,127715,,5146.0,,48394.0,74175.0,35822.0,1443.0,3413967.0,957557.0,3565287.0
Idaho,109705,"+1,339",1032.0,,42932.0,65741.0,61388.0,577.0,741864.0,415130.0,1787065.0
New Mexico,106856,"+1,921",1738.0,+32,36388.0,68730.0,50961.0,829.0,1634917.0,779709.0,2096829.0
South Dakota,85304,+906,1091.0,+27,68011.0,16202.0,96426.0,1233.0,338369.0,382485.0,884659.0
Oregon,83243,"+1,806",1027.0,+24,,,19736.0,243.0,2088860.0,495256.0,4217737.0
North Dakota,82504,+555,1007.0,+18,76476.0,5021.0,108264.0,1321.0,356518.0,467833.0,762062.0
Montana,67069,+633,734.0,+7,49910.0,16425.0,62753.0,687.0,682583.0,638657.0,1068778.0
Rhode Island,62137,,1413.0,,3939.0,56785.0,58655.0,1334.0,1608848.0,1518697.0,1059361.0
West Virginia,53572,"+1,400",829.0,+30,34454.0,18289.0,29893.0,463.0,1207000.0,673494.0,1792147.0
Delaware,39096,+698,782.0,,18605.0,19709.0,40149.0,803.0,436169.0,447921.0,973764.0
Wyoming,35941,+204,257.0,,29533.0,6151.0,62100.0,444.0,419587.0,724977.0,578759.0
Alaska,34963,+922,142.0,+1,,,47793.0,194.0,1067231.0,1458873.0,731545.0
New Hampshire,24138,+448,559.0,+7,19034.0,4545.0,17752.0,411.0,854085.0,628137.0,1359711.0
District Of Columbia,22872,+392,695.0,+2,16596.0,5581.0,32408.0,985.0,727387.0,1030660.0,705749.0
Hawaii,18423,+133,261.0,+5,13182.0,4980.0,13012.0,184.0,695177.0,490989.0,1415872.0
Maine,13127,+283,227.0,+3,9993.0,2907.0,9766.0,169.0,954351.0,709971.0,1344212.0
Vermont,4894,+131,79.0,+2,2899.0,1916.0,7843.0,127.0,231751.0,371402.0,623989.0
Puerto Rico,97523,"+1,141",1185.0,+12,47406.0,48932.0,28794.0,350.0,464073.0,137018.0,3386941.0
Guam,6977,+18,113.0,,6056.0,808.0,,,89477.0,,
United States Virgin Islands,1633,+20,23.0,,1502.0,108.0,,,29391.0,,
Northern Mariana Islands,106,,2.0,,,,,,23944.0,,
American Samoa,3,,,,2.0,1.0,,,,,
US Military,125947,,136.0,,74525.0,51286.0,,,,,
Veteran Affairs,120598,"+2,150",5193.0,+64,99200.0,16205.0,,,1021895.0,,
Federal Prisons,30933,,151.0,,24216.0,6566.0,,,82511.0,,
Navajo Nation,17495,+185,665.0,+2,9768.0,7062.0,,,169634.0,,
Grand Princess Ship,122,,7.0,,115.0,0.0,,,,,
Wuhan Repatriated,3,,,,3.0,0.0,,,3.0,,
Diamond Princess Ship,46,,,,46.0,0.0,,,46.0,,
Total:,14983425,"+208,790",287825.0,"+2,251",8787738.0,5907862.0,45267.0,870.0,205841812.0,621874.0,
