"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
World,63602561,"+504,678",1473891.0,"+8,429",43975983.0,18152687.0,105906.0,8160.0,189.1,,,
USA,13926318,"+166,873",274365.0,"+1,271",8224314.0,5427639.0,25307.0,41970.0,827.0,194913696.0,587412.0,331817450.0
India,9463254,"+31,179",137659.0,+482,8888595.0,437000.0,8944.0,6829.0,99.0,140379976.0,101308.0,1385678712.0
Brazil,6336278,"+21,538",173165.0,+317,5601804.0,561309.0,8318.0,29721.0,812.0,21900000.0,102724.0,213192966.0
Russia,2295654,"+26,338",39895.0,+368,1778704.0,477055.0,2300.0,15728.0,273.0,76422849.0,523585.0,145960859.0
France,2222488,"+4,005",53040.0,+509,162281.0,2007167.0,3751.0,34017.0,812.0,20618607.0,315586.0,65334344.0
Spain,1664945,"+6,659",45069.0,+133,,,2629.0,35604.0,964.0,22992742.0,491693.0,46762418.0
UK,1629656,"+12,329",58448.0,+205,,,1417.0,23953.0,859.0,43479023.0,639061.0,68035793.0
Italy,1601551,"+16,374",55576.0,+672,757507.0,788468.0,3744.0,26505.0,920.0,21945099.0,363184.0,60424259.0
Argentina,1424533,"+5,726",38730.0,+257,1257227.0,128576.0,4062.0,31399.0,854.0,3892522.0,85796.0,45369331.0
Colombia,1316806,"+8,430",36766.0,+182,1210489.0,69551.0,2376.0,25764.0,719.0,6429234.0,125793.0,51109532.0
Mexico,1107071,"+6,388",105655.0,+196,818397.0,183019.0,3335.0,8549.0,816.0,2859239.0,22079.0,129498923.0
Germany,1069763,"+14,156",16862.0,+329,739000.0,313901.0,3926.0,12751.0,201.0,27859242.0,332066.0,83896677.0
Poland,990819,"+5,741",17150.0,+121,577514.0,396155.0,2118.0,26192.0,453.0,6236988.0,164873.0,37829102.0
Peru,963605,"+1,075",35966.0,+43,894741.0,32898.0,965.0,29056.0,1085.0,5069698.0,152871.0,33163183.0
