USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
USA Total,14314265,"+203,737",279867.0,"+2,833",8462434.0,5571964.0,43245.0,846.0,199906513.0,603942.0,
Texas,1299915,"+19,195",22505.0,+212,1031415.0,245995.0,44831.0,776.0,12190111.0,420408.0,28995881.0
California,1269389,"+18,264",19443.0,+120,592299.0,657647.0,32126.0,492.0,24299126.0,614977.0,39512223.0
Florida,1018160,"+9,994",18776.0,+95,662473.0,336911.0,47405.0,874.0,12615881.0,587393.0,21477737.0
Illinois,748603,"+9,757",13397.0,+266,390650.0,344556.0,59076.0,1057.0,10699586.0,844361.0,12671821.0
New York,703443,"+9,383",34728.0,+74,444577.0,224138.0,36160.0,1785.0,19761724.0,1015841.0,19453561.0
Georgia,482139,"+5,734",9567.0,+52,301216.0,171356.0,45410.0,901.0,4728290.0,445333.0,10617423.0
Ohio,437928,"+7,835",6671.0,+123,289768.0,141489.0,37465.0,571.0,6194031.0,529898.0,11689100.0
Michigan,402886,"+7,433",9842.0,+83,165269.0,227775.0,40342.0,985.0,7201724.0,721120.0,9986857.0
Wisconsin,395090,"+3,777",3502.0,+82,325587.0,66001.0,67857.0,601.0,2557706.0,439285.0,5822434.0
Tennessee,384285,"+4,099",4688.0,+50,342115.0,37482.0,56271.0,686.0,4574275.0,669814.0,6829174.0
Pennsylvania,381342,"+8,654",10825.0,+187,225316.0,145201.0,29788.0,846.0,5708285.0,445890.0,12801989.0
North Carolina,371594,"+4,199",5366.0,+82,315979.0,50249.0,35430.0,512.0,5355690.0,510645.0,10488084.0
New Jersey,354754,"+4,715",17285.0,+57,198703.0,138766.0,39940.0,1946.0,6133587.0,690549.0,8882190.0
Indiana,350970,"+6,597",5973.0,+109,208176.0,136821.0,52133.0,887.0,4342486.0,645030.0,6732219.0
